コンテンツID,name,nameEn,type,description,descriptionEn
,"Animation","Animation",major,"アニメーション作品カテゴリ","Animation works category"
,"Development","Development",major,"プログラミング・Web作品カテゴリ","Programming and Web works category"
,"Illustration","Illustration",major,"イラスト・グラフィック作品カテゴリ","Illustration and graphic works category"
,"Video","Video",major,"動画・映像作品カテゴリ","Video and film works category"
,"Graphic","Graphic",major,"グラフィックデザイン作品カテゴリ","Graphic design works category"
,"AI","AI",minor,"AIタグ","AI tag"
,"Animation","Animation",minor,"Animationタグ","Animation tag"
,"Animation Site","Animation Site",minor,"Animation Siteタグ","Animation Site tag"
,"Blog","Blog",minor,"Blogタグ","Blog tag"
,"Bot","Bot",minor,"Botタグ","Bot tag"
,"CSS","CSS",minor,"CSSタグ","CSS tag"
,"Chatbot","Chatbot",minor,"Chatbotタグ","Chatbot tag"
,"Club","Club",minor,"Clubタグ","Club tag"
,"Corporate","Corporate",minor,"Corporateタグ","Corporate tag"
,"Digital Art","Digital Art",minor,"Digital Artタグ","Digital Art tag"
,"Director","Director",minor,"Directorタグ","Director tag"
,"Game","Game",minor,"Gameタグ","Game tag"
,"HTML","HTML",minor,"HTMLタグ","HTML tag"
,"Illustration","Illustration",minor,"Illustrationタグ","Illustration tag"
,"JavaScript","JavaScript",minor,"JavaScriptタグ","JavaScript tag"
,"Logic","Logic",minor,"Logicタグ","Logic tag"
,"Mobile","Mobile",minor,"Mobileタグ","Mobile tag"
,"Next.js","Next.js",minor,"Next.jsタグ","Next.js tag"
,"Official","Official",minor,"Officialタグ","Official tag"
,"Personal","Personal",minor,"Personalタグ","Personal tag"
,"Pixiv","Pixiv",minor,"Pixivタグ","Pixiv tag"
,"Portfolio","Portfolio",minor,"Portfolioタグ","Portfolio tag"
,"Python","Python",minor,"Pythonタグ","Python tag"
,"Research","Research",minor,"Researchタグ","Research tag"
,"Restaurant","Restaurant",minor,"Restaurantタグ","Restaurant tag"
,"SEO","SEO",minor,"SEOタグ","SEO tag"
,"Security","Security",minor,"Securityタグ","Security tag"
,"Setagaya Ward","Setagaya Ward",minor,"Setagaya Wardタグ","Setagaya Ward tag"
,"TAP","TAP",minor,"TAPタグ","TAP tag"
,"Three.js","Three.js",minor,"Three.jsタグ","Three.js tag"
,"Tool","Tool",minor,"Toolタグ","Tool tag"
,"Twitter API","Twitter API",minor,"Twitter APIタグ","Twitter API tag"
,"Typography","Typography",minor,"Typographyタグ","Typography tag"
,"Vanilla JS","Vanilla JS",minor,"Vanilla JSタグ","Vanilla JS tag"
,"Vercel","Vercel",minor,"Vercelタグ","Vercel tag"
,"Vite","Vite",minor,"Viteタグ","Vite tag"
,"Vlog","Vlog",minor,"Vlogタグ","Vlog tag"
,"Vue.js","Vue.js",minor,"Vue.jsタグ","Vue.js tag"
,"Weather API","Weather API",minor,"Weather APIタグ","Weather API tag"
,"WordPress","WordPress",minor,"WordPressタグ","WordPress tag"
,"YouTube","YouTube",minor,"YouTubeタグ","YouTube tag"
