コンテンツID,majorCategory,minorCategory,title,titleEn,description,descriptionEn,detail,detailEn,thumbnail,images,youtubeUrl,year,url
,"animation","Animation,Director,Setagaya Ward,Official","世田谷区オリジナルアニメ「新BOPへようこそ！」","Setagaya-city Original Animation ""Welcome to the New BOP!""","私は監督として、世田谷区と共同でオリジナルアニメを制作しました。35人のメンバーを集め、有志団体を発足させ、1年かけて設定、脚本、映像、音楽を制作しました。声優には株式会社81プロデュースの協力を得て、伊藤健人さんと上田麗奈さんを起用しました。","As a director, I created an original animation in collaboration with Setagaya Ward. I gathered 35 members, formed a volunteer group, and spent a year creating the setting, script, video, and music. With the cooperation of 81 Produce, we cast voice actors Kent Itou and Reina Ueda.","<p>世田谷区と共同で制作したオリジナルアニメーション作品です。</p><h2>プロジェクト概要</h2><p>35人のメンバーを集め、有志団体「都市大アニメーション」を発足。1年をかけて設定、脚本、映像、音楽を制作しました。</p><h2>声優キャスト</h2><p>株式会社81プロデュースの協力を得て、以下の豪華声優陣を起用：</p><ul><li><strong>伊藤健人</strong> さん</li><li><strong>上田麗奈</strong> さん</li></ul><h2>制作の想い</h2><p>世田谷区の子どもたちに向けて、新しい放課後の居場所「新BOP」の魅力を伝えるため、アニメーションという形で表現しました。</p>","<p>An original animation project created in collaboration with Setagaya Ward.</p><h2>Project Overview</h2><p>Gathered 35 members and formed &#39;Tokyo City University Animation&#39;. Spent one year creating settings, scripts, video, and music.</p><h2>Voice Cast</h2><p>With the cooperation of 81 Produce, we cast the following talented voice actors:</p><ul><li><strong>Kent Itou</strong></li><li><strong>Reina Ueda</strong></li></ul><h2>Production Philosophy</h2><p>To convey the appeal of &#39;Shin-BOP&#39;, a new after-school place for children in Setagaya Ward, we expressed it through animation.</p>","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/a46c2135e22946c0a74b14fa07120f3c/tcu-animation.webp","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/a46c2135e22946c0a74b14fa07120f3c/tcu-animation.webp","https://www.youtube.com/embed/Q9Uuyhjic2M?loop=1&playsinline=1&controls=0&autoplay=1&mute=1&playlist=Q9Uuyhjic2M","2024~2025","https://tcu-animation.jp"
,"development","Vue.js,Vite,Three.js,Portfolio","manapuraza.com","manapuraza.com","当サイトは、広告制作会社の4ヶ月のインターンの1ヶ月で作った、学生時代のクリエイティブの一部を紹介したポートフォリオサイトです。Vue.js3+Vite6, Typescript, Three.js, gsapで書かれています。パフォーマンスとSEO対策に対応しています。（github）","A portfolio site showcasing some of my creative creative during my student years, created during a one-month period as part of a four-month internship at an advertising production company. Built with Vue.js 3 + Vite 6, Typescript, Three.js, gsap. Responsive CI/CD (This site)","<p>Vue.js 3 + Vite 6 で構築した個人ポートフォリオサイトです。</p><h2>技術スタック</h2><ul><li><strong>フレームワーク</strong>: Vue.js 3 (Composition API)</li><li><strong>ビルドツール</strong>: Vite 6</li><li><strong>3D</strong>: Three.js</li><li><strong>アニメーション</strong>: GSAP</li></ul><h2>特徴</h2><ul><li>パフォーマンス最適化（Code Splitting, Lazy Loading）</li><li>SEO対策（Meta Tags, Structured Data）</li><li>レスポンシブデザイン</li><li>i18n対応（日本語/英語）</li></ul>","<p>A personal portfolio site built with Vue.js 3 + Vite 6.</p><h2>Tech Stack</h2><ul><li><strong>Framework</strong>: Vue.js 3 (Composition API)</li><li><strong>Build Tool</strong>: Vite 6</li><li><strong>3D</strong>: Three.js</li><li><strong>Animation</strong>: GSAP</li></ul><h2>Features</h2><ul><li>Performance optimization (Code Splitting, Lazy Loading)</li><li>SEO optimization (Meta Tags, Structured Data)</li><li>Responsive design</li><li>i18n support (Japanese/English)</li></ul>","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/dcbcd67ad76d41ffb33e69941bd1b215/manapuraza.webp","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/dcbcd67ad76d41ffb33e69941bd1b215/manapuraza.webp",,,"https://github.com/ManatoYamashita/manapuraza"
,"development","Next.js,AI,Vercel,Chatbot","でじこんちゃんAI","DC-chan AI","デジタルコンテンツ研究会のキャラクターであるでじこんちゃんのAIチャット。Next.js, Typescript, GSAP, ChatGPT APIを使用しています。","An AI chat for DC-chan, the character of the Digital Content Research Society. Built with Next.js, Typescript, GSAP, and ChatGPT API.",,,"https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/6b738063d83740d9b4ff240a7f593599/dcchan-ai.webp","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/6b738063d83740d9b4ff240a7f593599/dcchan-ai.webp",,,"https://でじこんちゃん.net/"
,"development","Vanilla JS,Game,Logic","NUMERON - 論理数字あてゲーム","NUMERON - Logical Number Guessing Game","大学1年生の時にHTML,CSS,Javascriptの練習のために知り合いと開発した数字当てゲームです。","A number guessing game developed during my first year of university as practice for HTML, CSS, and Javascript, created in collaboration with an acquaintance.",,,"https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/7f20c210e0de4b009aa3d94a2c50ab65/numeron.webp","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/7f20c210e0de4b009aa3d94a2c50ab65/numeron.webp",,,"https://tmana.sub.jp/numeron/dirs/src/numeron.html"
,"development","HTML,CSS,JavaScript,Corporate","オフィス露木","Office TSUYUKI","ミニマルなイメージのコーポレートサイトのプレビューです。コーディングを必要とせず、コンテンツを更新することが可能。 Next.js, Typescript, microCMS, gsapで構築。レスポンシブデザインに対応","A minimal corporate site build with Next.js + microCMS + gsap",,,"https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/a84954b12bf84a389eab3a47a82de2df/office-tsuyuki.webp","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/a84954b12bf84a389eab3a47a82de2df/office-tsuyuki.webp",,,"https://office-tsuyuki.pom.jp"
,"development","Python,Twitter API,Bot","でじこんちゃん Twitter BOT","DC-chan Twitter BOT","私のサークルの公式キャラクターであるでじこんちゃんのTwitter BOT。GoogleAppsScript(GAS)でTwitterのAPIを叩いています。APIの有料化に伴い現在は動作させていません。","A Twitter BOT for the official character of my club, DC-chan. Built with Google Apps Script (GAS) to interact with the Twitter API. Currently inactive due to the API becoming paid.",,,"https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/3215e1141ad949c9a58ce5551429cf34/dcchan-twitterbot.webp","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/3215e1141ad949c9a58ce5551429cf34/dcchan-twitterbot.webp",,,"https://tmana.sub.jp/tcudc-bot/dc-chan_twitterBot22_document.html"
,"development","WordPress,Security,Research","関研究室（TCU情報セキュリティ研究室）","Seki Laboratory (TCU Information Security Laboratory)","研究室のWebサイトNuxt.js3, Typescript, microCMSで構築","The website for the lab, built with Nuxt.js 3 and microCMS.",,,"https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/ea21059576d148889e1762f75e6f8658/sekilab.webp","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/ea21059576d148889e1762f75e6f8658/sekilab.webp",,,"https://www.comm.tcu.ac.jp/seki-ken"
,"development","HTML,CSS,JavaScript,Weather API","wtm - おでかけ支援アプリ","wtm - Outing Support App for Android","4人のチームで開発したAndroidアプリ。AndroidStudio(Java * Gradle)で開発。私はリーダと開発、デザインを担当しました。","An Android app developed by a team, 4members. Built with Android Studio (Java + Gradle). I was responsible for leadership, development, and design.",,,"https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/4e080736cc1a493c9b521b9a6ebc20b3/wtm.webp","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/4e080736cc1a493c9b521b9a6ebc20b3/wtm.webp",,,"https://github.com/ManatoYamashita/SysB_wtm"
,"development","WordPress,Blog,TAP","Down Under Mountain - オーストラリア留学ブログ","Down Under Mountain - Australia Study Abroad Blog","2023年に4ヶ月間西オーストラリアのEdith Cowan Universityに留学したので、その時に書いたブログ。WordPressで書かれています。","A blog I wrote during my four-month study abroad at Edith Cowan University in Western Australia in 2023. Built with WordPress.",,,"https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/a203411b087749b29dc7913bcd5639ad/dum.webp","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/a203411b087749b29dc7913bcd5639ad/dum.webp",,,"https://dum.manapuraza.com"
,"development","Vanilla JS,Game,Mobile","WAGIRI!! - 和風フリックゲーム","WAGIRI!! - Japanese Style Flick Game","devate主催のハッカソンでグランプリを受賞した和風フリックゲーム。Next.js(Typescript), Goで構築。オンライン対戦にも対応しています。私はフロントエンドとデザイン、アニメーションを担当しました。","A Japanese-style flick game that won the grand prize in a hackathon hosted by devate. Built with Next.js (Typescript) and Go, supporting online battles. I was responsible for frontend, design, and animations.",,,"https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/1ff6de3a93304882bf61da17b15225af/flickgame-wagiri.webp","https://images.microcms-assets.io/assets/d54b2cb61c0a4ed4b40dbd8096a9d0d8/1ff6de3a93304882bf61da17b15225af/flickgame-wagiri.webp",,,"https://flickgame.tcu-dc.net/"
